date,Model,CSPE
2013-06-01,PC,0.0471270261138664
2013-06-01,PLS,0.03494295491078694
2013-06-01,Mean,0.01934660705263784
2013-06-01,Median,0.0020407362063332916
2013-06-01,Trimmed mean,0.011707930117999603
2013-06-01,DMSPE(1),0.022289595607438765
2013-06-01,DMSPE(0.9),0.023667203266431628
2013-07-01,Elastic Net,0.10783254420545518
2013-07-01,Lasso,0.10976429985473998
2013-07-01,Ridge,0.07158211836621156
2013-07-01,PC,0.04655931703034186
2013-07-01,PLS,0.03473365409506319
2013-07-01,Mean,0.019388901623644483
2013-07-01,Median,0.002054347587252428
2013-07-01,Trimmed mean,0.011746711753070585
2013-07-01,DMSPE(1),0.022335131616032934
2013-07-01,DMSPE(0.9),0.023709313669742334
2013-08-01,Elastic Net,0.10772409102186427
2013-08-01,Lasso,0.10965207135858385
2013-08-01,Ridge,0.07157467810324526
2013-08-01,PC,0.044922569915993374
2013-08-01,PLS,0.03269015047247993
2013-08-01,Mean,0.0192472942321853
2013-08-01,Median,0.0019445949156986866
2013-08-01,Trimmed mean,0.011616474384836862
2013-08-01,DMSPE(1),0.022182488650503738
2013-08-01,DMSPE(0.9),0.023568711371615574
2013-09-01,Elastic Net,0.10772409102186427
2013-09-01,Lasso,0.10965207135858385
2013-09-01,Ridge,0.07157069529090772
2013-09-01,PC,0.04757085523213522
2013-09-01,PLS,0.032104613945249834
2013-09-01,Mean,0.019163538088742733
2013-09-01,Median,0.0017924048844376243
2013-09-01,Trimmed mean,0.011417752503567163
2013-09-01,DMSPE(1),0.02214466218854878
2013-09-01,DMSPE(0.9),0.02351321956956136
2013-10-01,Elastic Net,0.10772409102186427
2013-10-01,Lasso,0.10965207135858385
2013-10-01,Ridge,0.0715971624131388
2013-10-01,PC,0.05313533708887283
2013-10-01,PLS,0.035231532279906344
2013-10-01,Mean,0.019677369393459397
2013-10-01,Median,0.0018812436631261346
2013-10-01,Trimmed mean,0.011817557260294934
2013-10-01,DMSPE(1),0.022729457567195573
2013-10-01,DMSPE(0.9),0.02406980221968882
2013-11-01,Elastic Net,0.10772409102186427
2013-11-01,Lasso,0.10965207135858385
2013-11-01,Ridge,0.07157680869061087
2013-11-01,PC,0.048714288573823095
2013-11-01,PLS,0.030414598110827386
2013-11-01,Mean,0.01924567696963476
2013-11-01,Median,0.0017267955928599674
2013-11-01,Trimmed mean,0.011416853425069488
2013-11-01,DMSPE(1),0.02226813543761217
2013-11-01,DMSPE(0.9),0.02357824381265634
2013-12-01,Elastic Net,0.10772409102186427
2013-12-01,Lasso,0.10965207135858385
2013-12-01,Ridge,0.0715698302375393
2013-12-01,PC,0.042866738734023926
2013-12-01,PLS,0.02935653013417447
2013-12-01,Mean,0.019113022581649382
2013-12-01,Median,0.0016894583970548036
2013-12-01,Trimmed mean,0.011291737681588454
2013-12-01,DMSPE(1),0.022111223832534915
2013-12-01,DMSPE(0.9),0.023404856539206313
2014-01-01,Elastic Net,0.10772409102186427
2014-01-01,Lasso,0.10965207135858385
2014-01-01,Ridge,0.07155351923223764
2014-01-01,PC,0.04400520799483569
2014-01-01,PLS,0.026709786428453983
2014-01-01,Mean,0.018785773106344286
2014-01-01,Median,0.001636054463544626
2014-01-01,Trimmed mean,0.011002185946578778
2014-01-01,DMSPE(1),0.021783393066200953
2014-01-01,DMSPE(0.9),0.02307345556747046
2014-02-01,Elastic Net,0.10761058023468645
2014-02-01,Lasso,0.10965207135858385
2014-02-01,Ridge,0.07155255877347892
2014-02-01,PC,0.0410300651924243
2014-02-01,PLS,0.02654014721999981
2014-02-01,Mean,0.01876780313397414
2014-02-01,Median,0.0016268329445078798
2014-02-01,Trimmed mean,0.010986293487771233
2014-02-01,DMSPE(1),0.021758227462028757
2014-02-01,DMSPE(0.9),0.023053725438153722
2014-03-01,Elastic Net,0.10761009710318574
2014-03-01,Lasso,0.10965207135858385
2014-03-01,Ridge,0.07155210795690868
2014-03-01,PC,0.04101935758865818
2014-03-01,PLS,0.02640448064442384
2014-03-01,Mean,0.018758061784550563
2014-03-01,Median,0.001624380187685259
2014-03-01,Trimmed mean,0.010980229477405418
2014-03-01,DMSPE(1),0.021748762646397343
2014-03-01,DMSPE(0.9),0.023047134554215944
2014-04-01,Elastic Net,0.10767011113455428
2014-04-01,Lasso,0.10965207135858385
2014-04-01,Ridge,0.07155431370618388
2014-04-01,PC,0.040987318242357317
2014-04-01,PLS,0.026355551119640403
2014-04-01,Mean,0.01879168878404051
2014-04-01,Median,0.0016252253915316486
2014-04-01,Trimmed mean,0.01100534785319549
2014-04-01,DMSPE(1),0.02178628180612903
2014-04-01,DMSPE(0.9),0.023080333987230743
2014-05-01,Elastic Net,0.10799150688595012
2014-05-01,Lasso,0.10965207135858385
2014-05-01,Ridge,0.07191488298260566
2014-05-01,PC,0.041463975927362014
2014-05-01,PLS,0.0270274049180843
2014-05-01,Mean,0.01893731443105568
2014-05-01,Median,0.0017218568988059976
2014-05-01,Trimmed mean,0.011137493785796669
2014-05-01,DMSPE(1),0.021945790657083415
2014-05-01,DMSPE(0.9),0.02321327173663613
2014-06-01,Elastic Net,0.10751899645316237
2014-06-01,Lasso,0.10965207135858385
2014-06-01,Ridge,0.07149886246606275
2014-06-01,PC,0.038055694109075486
2014-06-01,PLS,0.025629918130370858
2014-06-01,Mean,0.018789068120097653
2014-06-01,Median,0.001688605833152953
2014-06-01,Trimmed mean,0.011009948155520017
2014-06-01,DMSPE(1),0.021774463670864302
2014-06-01,DMSPE(0.9),0.02307814607967824
2014-07-01,Elastic Net,0.10807578074523866
2014-07-01,Lasso,0.10965207135858385
2014-07-01,Ridge,0.07193117383786254
2014-07-01,PC,0.04270786950127811
2014-07-01,PLS,0.029064769149288308
2014-07-01,Mean,0.01933022732232031
2014-07-01,Median,0.0018978408435825897
2014-07-01,Trimmed mean,0.011455107786498369
2014-07-01,DMSPE(1),0.022371886813657132
2014-07-01,DMSPE(0.9),0.02356302138570568
2014-08-01,Elastic Net,0.10846098042492172
2014-08-01,Lasso,0.10965207135858385
2014-08-01,Ridge,0.0723386744606837
2014-08-01,PC,0.04437305391114579
2014-08-01,PLS,0.030806332800737992
2014-08-01,Mean,0.01977009999760624
2014-08-01,Median,0.0021188181641514487
2014-08-01,Trimmed mean,0.011862138928767425
2014-08-01,DMSPE(1),0.022841948923679706
2014-08-01,DMSPE(0.9),0.024014223715049927
2014-09-01,Elastic Net,0.10975028115394664
2014-09-01,Lasso,0.10965207135858385
2014-09-01,Ridge,0.07395025146869288
2014-09-01,PC,0.04844747753526274
2014-09-01,PLS,0.03808458228693724
2014-09-01,Mean,0.02100535837110317
2014-09-01,Median,0.002705226329853857
2014-09-01,Trimmed mean,0.013006821226954818
2014-09-01,DMSPE(1),0.024155881732790194
2014-09-01,DMSPE(0.9),0.02534765770194737
2014-10-01,Elastic Net,0.11181618696081794
2014-10-01,Lasso,0.10970606321709589
2014-10-01,Ridge,0.07588680701776865
2014-10-01,PC,0.05329815912024911
2014-10-01,PLS,0.04607193275773835
2014-10-01,Mean,0.02246653300170975
2014-10-01,Median,0.0034880221513827222
2014-10-01,Trimmed mean,0.014362167345668933
2014-10-01,DMSPE(1),0.02572130901516767
2014-10-01,DMSPE(0.9),0.02705813956814041
2014-11-01,Elastic Net,0.11621201216446367
2014-11-01,Lasso,0.11016464363661031
2014-11-01,Ridge,0.08086322901698142
2014-11-01,PC,0.06657534892951542
2014-11-01,PLS,0.06616898379872357
2014-11-01,Mean,0.02601467787440125
2014-11-01,Median,0.005937979699027473
2014-11-01,Trimmed mean,0.01775700246569429
2014-11-01,DMSPE(1),0.02949326100085478
2014-11-01,DMSPE(0.9),0.03144614447225412
2014-12-01,Elastic Net,0.1227698113163388
2014-12-01,Lasso,0.11816673531574956
2014-12-01,Ridge,0.08791990679999277
2014-12-01,PC,0.08027301323150994
2014-12-01,PLS,0.08623327585045124
2014-12-01,Mean,0.030213885905872147
2014-12-01,Median,0.009261741852235151
2014-12-01,Trimmed mean,0.02172368352943784
2014-12-01,DMSPE(1),0.033937710777428895
2014-12-01,DMSPE(0.9),0.03624005710189791
2015-01-01,Elastic Net,0.11990563621719352
2015-01-01,Lasso,0.11438530755807695
2015-01-01,Ridge,0.08489136231373864
2015-01-01,PC,0.0739417669344096
2015-01-01,PLS,0.07636689962942836
2015-01-01,Mean,0.028627901633666564
2015-01-01,Median,0.007724177509340715
2015-01-01,Trimmed mean,0.020201112490347315
2015-01-01,DMSPE(1),0.0322553583313214
2015-01-01,DMSPE(0.9),0.034433025237588934
2015-02-01,Elastic Net,0.1199648146045302
2015-02-01,Lasso,0.11408316103219024
2015-02-01,Ridge,0.0863162803967466
2015-02-01,PC,0.07611840899778687
2015-02-01,PLS,0.07985083426445078
2015-02-01,Mean,0.029677915467712673
2015-02-01,Median,0.00874104936452827
2015-02-01,Trimmed mean,0.021273449109189824
2015-02-01,DMSPE(1),0.03332027003350121
2015-02-01,DMSPE(0.9),0.03553934911985196
2015-03-01,Elastic Net,0.11511493907005566
2015-03-01,Lasso,0.1082777531486862
2015-03-01,Ridge,0.08110801865792693
2015-03-01,PC,0.0615881105718735
2015-03-01,PLS,0.06353225739124567
2015-03-01,Mean,0.026679086930942567
2015-03-01,Median,0.005559717841168395
2015-03-01,Trimmed mean,0.01837173636544847
2015-03-01,DMSPE(1),0.03016811735521805
2015-03-01,DMSPE(0.9),0.032244782414253506
2015-04-01,Elastic Net,0.11736623702602739
2015-04-01,Lasso,0.10905794801305602
2015-04-01,Ridge,0.08113152304473883
2015-04-01,PC,0.06535048911957822
2015-04-01,PLS,0.06061868698375806
2015-04-01,Mean,0.026134358412068154
2015-04-01,Median,0.0048488989880906596
2015-04-01,Trimmed mean,0.01776731240129654
2015-04-01,DMSPE(1),0.029673169820802512
2015-04-01,DMSPE(0.9),0.03169318310520316
2015-05-01,Elastic Net,0.11721809785805777
2015-05-01,Lasso,0.10878566158617957
2015-05-01,Ridge,0.08114047058368679
2015-05-01,PC,0.06404552834274158
2015-05-01,PLS,0.06038445899616086
2015-05-01,Mean,0.02611338912453033
