date,r,tbill,long_yield,inflation,svar,epu,kilian,oil_prod_growth,oil_stock_growth,oil_import_growth,m2_growth,ip_crude_growth,unrate_change,cfnai,capacity_util,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12,OBV_1_9,OBV_1_12,OBV_2_9,OBV_2_12,OBV_3_9,OBV_3_12
2005-01-01,0.02341692681977214,2.33,4.22,0,8.241084852875591e-4,77.59643,126.65087,0.01591545530589933,-0.00870072163762181,-0.01347185918834448,0.00283692555512615,0.01590516315726553,0,0.85,78.0452,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
2005-02-01,0.1145436001310256,2.54,4.17,-5.217845148388633e-4,8.353657830269884e-4,73.91848,106.50273,-0.01168322891325424,0.00111926867484513,-0.01034938086200298,9.801405652698492e-4,-0.0116820704453886,-0.10000000000000052,0.19,78.435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005-03-01,-0.02568428671258038,2.74,4.5,0.00416667269484616,8.60245208547e-4,58.95005,106.91739,0.01004849964175314,0.05468872104330913,0.02196368464502818,0.00125877076692226,0.01009251121753695,0.10000000000000052,0.4,79.0327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005-04-01,-0.06078087598013715,2.78,4.34,0.00363165120286268,0.00182634085253415,57.55796,109.89214,0.01801525933437275,0.05698647785598076,0.00224818041028562,0.00145881210302434,0.01794449120086927,-0.20000000000000015,-0.28,78.5127,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
2005-05-01,0.12244863262199868,2.84,4.14,0.00310238097848181,8.569424942709729e-4,74.56597,106.57834,-0.00680762213453789,0.05406442398117761,-0.00175901540517919,0.00209138657649887,-0.00679119188411281,0,0.57,78.6962,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2005-06-01,0.03977916731936926,2.97,4,-5.163955704734491e-4,5.421203306840812e-4,70.50812,85.61821,0.00591452571007877,-0.00432473859681969,0.02014010754911766,0.00265826071470698,-0.01009387900790947,-0.10000000000000052,-0.02,78.7294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005-07-01,0.09055784131175226,3.22,4.18,5.163955704734491e-4,6.480487702039793e-4,74.56133,56.920077,-0.0279054164421808,-0.02483503537320075,0.03142212563203017,0.00503438137515033,-0.01181212011672183,-0.09999999999999964,0.41,78.7768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005-08-01,-0.00448472762078644,3.44,4.26,0.00617603610056427,6.976615128572561e-4,68.71645,35.096648,-0.03534729838922956,-0.02947961043943081,-0.03670831219318593,0.00487163167042759,-0.03530625758165495,0,-0.05,78.3186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005-09-01,-0.05361199713985876,3.42,4.2,0.00613812668878566,6.580678963460677e-4,64.39586,34.062703,-0.01052540575252614,-0.02797249329498719,0.00259852896326329,0.005000086637855,-0.01055815260335979,-0.09999999999999964,0.21,78.5603,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2005-10-01,-0.06033881994741419,3.71,4.46,0.01367456102017339,0.00181529817965015,91.40605,56.803706,-0.20986162083730164,-0.01063395938890643,-0.12789016945992948,0.0051265051909457,-0.21033241602729147,0.09999999999999964,-0.62,77.48,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
2005-11-01,0.0185174746672474,3.88,4.54,0.00150791684767703,5.379740103676392e-4,76.16369,68.804236,0.07781321532992358,0.05028737308464848,0.03107944109679117,0.00510035812158626,0.07789771234021448,0,0.65,78.4707,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1
2005-12-01,0.09139562334806817,3.89,4.47,-0.00503525736564558,4.322495453012895e-4,72.21598,61.407375,0.0641954326516867,9.401427661543948e-4,0.08306813329650709,0.00252544367046247,0.06431200664536041,0,0.75,79.0556,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
2006-01-01,-0.06125032456479884,4.24,4.42,0,9.756606223151886e-4,78.04893,50.104413,0.02661406445418279,0.00390314154795312,-0.02626273954706626,0.00406038689478904,0.02670552741446474,-0.09999999999999964,0.33,79.0069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2006-02-01,0.01554979741769369,4.43,4.57,0.0060392735142436,6.486679157661869e-4,79.17535,35.741454,0.01195709742112249,-0.0012086237227038,-0.02327804733323901,0.00630503135821847,0.01192239195503175,-0.20000000000000015,0.48,79.4643,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1
2006-03-01,0.0972661096856946,4.51,4.72,5.016303089888652e-4,5.419541937443869e-4,72.69299,43.597132,-0.00317460584077267,0.05790182681980838,0.02197668071482006,0.00364855649168127,-0.00312773048947523,0.09999999999999964,0.1,79.0794,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2006-04-01,0.01697566571908471,4.6,4.99,0.00150338289403162,5.875260988619619e-4,64.22933,49.76304,-9.941346877013757e-4,4.552564690030181e-4,-0.02361636134453171,0.00215912535816187,-9.23099894329038e-4,-0.09999999999999964,0.23,78.8769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006-05-01,-9.291845823438116e-4,4.72,5.11,0.00499501538052271,0.00136047574228478,79.76153,44.137219,0.01088150018753353,0.01424988951997718,0.01111745858314883,0.00553911936129303,0.01079666109083543,0,-0.09,79.0167,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2006-06-01,0.04217879889085729,4.79,5.11,0.00298507684345405,0.0020888012884818,70.83626,43.068443,0.01348598568547565,-0.020416344277983,0.04405037137002665,9.98487667937198e-4,0.01347479015272412,-0.10000000000000052,0.02,78.699700000000007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
