date,Model,CSPE
2010-01-01,Screening 13,0.08942337298705096
2010-01-01,Screening 14,0.10910474999201336
2010-01-01,Screening 15,0.13848758549741672
2010-01-01,Screening CV,0.11381868206742628
2010-01-01,Boosting 1,0.018643432728336313
2010-01-01,Boosting 5,0.0959967412905324
2010-01-01,Boosting 10,0.13814536276071665
2010-01-01,Boosting 25,0.13482480686349785
2010-01-01,Boosting 50,0.12054031083655763
2010-01-01,Boosting 100,0.11795506813499976
2010-01-01,Boosting 200,0.11821937537872294
2010-01-01,Boosting 300,0.11352005966981495
2010-01-01,Boosting CV,0.12899904291708944
2010-02-01,Screening 1,0.10003289548336841
2010-02-01,Screening 2,0.11589489527654763
2010-02-01,Screening 3,0.12471467883392484
2010-02-01,Screening 4,0.113133297306533
2010-02-01,Screening 5,0.1147599187179123
2010-02-01,Screening 6,0.1333566953824941
2010-02-01,Screening 7,0.14399947329703408
2010-02-01,Screening 8,0.12595433346264218
2010-02-01,Screening 9,0.11980822043638104
2010-02-01,Screening 10,0.13121192969568873
2010-02-01,Screening 11,0.11438824512812194
2010-02-01,Screening 12,0.09084285773151501
2010-02-01,Screening 13,0.09199343672129624
2010-02-01,Screening 14,0.11166605163056324
2010-02-01,Screening 15,0.14088908683595405
2010-02-01,Screening CV,0.11636099342600116
2010-02-01,Boosting 1,0.018745542154206884
2010-02-01,Boosting 5,0.09684134057947826
2010-02-01,Boosting 10,0.1395170022672736
2010-02-01,Boosting 25,0.13697796881082402
2010-02-01,Boosting 50,0.12300524471100908
2010-02-01,Boosting 100,0.12054770239789842
2010-02-01,Boosting 200,0.12089592768689666
2010-02-01,Boosting 300,0.11623503212956172
2010-02-01,Boosting CV,0.13158959982382534
2010-03-01,Screening 1,0.10075229216107633
2010-03-01,Screening 2,0.11641434091535262
2010-03-01,Screening 3,0.12516673631183098
2010-03-01,Screening 4,0.11359369920526136
2010-03-01,Screening 5,0.11521321940182926
2010-03-01,Screening 6,0.13380968692390752
2010-03-01,Screening 7,0.14444844914508057
2010-03-01,Screening 8,0.12646246460350424
2010-03-01,Screening 9,0.11998561143240458
2010-03-01,Screening 10,0.13138202183394065
2010-03-01,Screening 11,0.11428977504745204
2010-03-01,Screening 12,0.09040344715802108
2010-03-01,Screening 13,0.09153227580008438
2010-03-01,Screening 14,0.11068086286041225
2010-03-01,Screening 15,0.1399990147170478
2010-03-01,Screening CV,0.11653108556425308
2010-03-01,Boosting 1,0.01885351781330133
2010-03-01,Boosting 5,0.09735290890857308
2010-03-01,Boosting 10,0.14024905746362107
2010-03-01,Boosting 25,0.13772490872389956
2010-03-01,Boosting 50,0.1236128839787899
2010-03-01,Boosting 100,0.12097937721607913
2010-03-01,Boosting 200,0.1210411420306676
2010-03-01,Boosting 300,0.11618261426729586
2010-03-01,Boosting CV,0.13191332336981956
2010-04-01,Screening 1,0.09687689814564841
2010-04-01,Screening 2,0.10416645344635747
2010-04-01,Screening 3,0.11216014413682641
2010-04-01,Screening 4,0.1006820801319349
2010-04-01,Screening 5,0.10221789125350918
2010-04-01,Screening 6,0.12088381846215544
2010-04-01,Screening 7,0.131545683023233
2010-04-01,Screening 8,0.1138667971716138
2010-04-01,Screening 9,0.11087455844371884
2010-04-01,Screening 10,0.12230189790476496
2010-04-01,Screening 11,0.10919964321546838
2010-04-01,Screening 12,0.08633699186604776
2010-04-01,Screening 13,0.08758109152520126
2010-04-01,Screening 14,0.10609990505555217
2010-04-01,Screening 15,0.13129197104754348
2010-04-01,Screening CV,0.10745096163507739
